Median_X,Mean_X,Min_X,RMS_X,Std_Y,Max_X,Median_Y,Std_X,Min_Y,Std_Distance,Mean_Y,RMS_Y,Kurtosis_Y,Total_Distance,Kurtosis_X,Activity
1025.5,1200.8125,352,1260.867112347689,383.7260143028283,1753,332.5,384.4934522768236,68,212.25473229046534,428.953125,575.5401267505159,1.0461598416339006,13440.26044081235,-1.2865081427104033,0
1568.0,1384.7734375,258,1447.2696141139356,340.45061906749044,1753,123.0,420.7040084571736,2,122.93072988210753,224.71875,407.927862035679,6.861486667978742,7939.777894209076,0.9441769578576866,0
1220.5,1059.8515625,162,1200.0864454540347,415.2108762018507,1741,122.5,562.958383922656,2,166.66164008114131,297.6484375,510.87636866711694,0.640252287211045,11620.676289012206,-1.354562946843912,0
885.0,751.875,162,825.8887069393793,379.4052693340427,1411,434.5,341.7252414221109,-8,161.04238226684947,467.96875,602.4475988623409,-0.38970024591340424,11293.319401963681,-0.845968253291272,0
903.0,849.15625,191,874.9112812165586,144.32358878162847,1109,541.0,210.72117379593703,-8,81.91067708827963,491.1484375,511.91413922404996,2.5940663855188086,5873.452336515257,1.5796799879576655,0
574.0,692.09375,352,741.882550509176,107.73471718582351,1109,569.0,267.20022447770793,379,70.52770819194768,591.109375,600.8469543070015,0.6065729300915215,5719.686766049459,-1.5340828336872945,0
587.5,669.2734375,352,712.3333851241987,218.61288336563675,1118,645.5,243.90965011543432,105,56.48349504468548,610.78125,648.725926817327,0.28361194985594507,5836.13921254318,-1.2058131524127935,0
759.5,760.1328125,215,823.2504507666546,345.61409905955804,1349,165.5,316.13195353892945,-45,86.75310717151709,340.1875,484.9501424115679,-1.568068878850328,6695.169693927974,-0.9500193554396072,0
623.5,662.4765625,215,735.3595580989615,260.1558613688914,1349,340.0,319.18409080918116,-45,95.07907846006803,276.8828125,379.92784059936963,-1.2477799608918039,7011.60426772664,-0.4266159595245491,0
714.0,759.4453125,278,835.6582874820904,139.4582778722362,1402,527.5,348.6654424506067,171,82.44380801323082,510.3828125,529.0928335958635,-0.567250446439147,6349.753515968662,-1.0546706881096453,0
1219.0,1042.640625,278,1101.2974450619597,115.39876092678595,1402,517.0,354.6217556772418,216,75.74557017737737,484.46875,498.02293496384283,-0.8698300373703107,5772.810847868743,-0.5280781132677719,0
1262.0,1232.1328125,864,1237.8774519060844,96.074385434522,1380,361.5,119.11892502176069,216,66.2595234080928,369.9609375,382.2321059415339,1.4522072339832102,5013.512348709826,1.163593252962107,0
959.0,961.015625,279,1017.4181017408723,118.25850487220518,1367,377.0,334.0487423353954,267,106.80695407729887,398.859375,416.02148382024694,5.731123505054638,6121.735978463175,-1.0647195314880613,0
676.0,632.3203125,279,677.7878366882221,109.64378552653973,1255,385.5,244.06428243887376,289,112.96870621710806,421.8828125,435.89777148719173,6.648219991978307,6502.9194107524,-0.1816398155564536,0
547.0,570.9453125,313,601.156379145643,82.55736641875151,1003,333.0,188.17662533316232,195,68.88764210187924,314.375,325.0343972182021,-0.502512598819671,4198.8196933260115,-0.6604558077947642,0
488.5,576.1796875,355,597.0445112698885,65.77879115060092,873,241.5,156.45803319070052,151,50.245677281616125,259.296875,267.5102217673186,-1.0360702715430021,3226.8807863258553,-0.745120828599922,0
482.5,579.2109375,447,597.2166888471052,100.70104730207315,873,152.0,145.54196411300452,44,41.99018561480988,180.546875,206.7314078702121,-1.2542166456781123,2875.2876949608685,-0.8134201046214664,0
646.5,656.0,384,680.2849701595649,55.387076755181575,1010,146.5,180.14338906826418,44,72.19745906848227,137.921875,148.62762823580277,9.066509292374132,4426.374073155172,-1.0399469811910826,0
685.0,715.0234375,384,740.5423529836089,35.95368860922861,1019,185.0,192.72898170276207,114,87.59517697423496,190.359375,193.72495805909986,33.56041605707941,5501.833284904162,-1.2983684887631577,0
725.0,747.0625,396,769.2288143004005,30.793738543673026,1043,209.0,183.33191168956375,169,75.08940105038045,214.3359375,216.53671383278171,9.077430443956874,5091.573004186274,-1.1189035669037901,0
760.0,755.28125,414,776.6825586267532,42.58418821508166,1043,254.0,181.06913119976443,171,76.21531527954728,252.59375,256.1581847706608,3.5119391246731917,6192.277899682763,-1.1215733311874272,0
704.0,715.34375,414,736.8140029885426,35.81369639690065,1013,279.0,176.57348140629017,236,74.2683049041075,286.859375,289.0863571236111,4.124039279091254,7157.344718756312,-1.107761898319081,0
803.0,751.125,437,766.0699829323689,33.11173083289365,1001,278.5,150.5803875841738,212,59.96611576449169,279.4375,281.3924361545633,3.905068863832528,5269.481828583216,-0.8660038228530094,0
813.5,756.03125,399,773.0114912632282,52.98160276863653,1010,216.5,161.13197897511685,111,59.48681956887608,220.2265625,226.51001978389388,-1.0221661684839938,4700.032640489587,-0.7693298742299532,0
726.0,687.515625,399,708.5865662535524,50.289472117525506,1010,138.0,171.51439372792996,49,63.45115355699106,136.515625,145.4838371606963,1.2782460236749689,5191.9268571580715,-1.1855181229664151,0
701.5,680.046875,413,703.1829642774347,101.56440112403358,1017,104.0,178.89250697761037,42,59.67157555297482,149.4765625,180.7168235458448,0.07102932538865181,5296.5050016564865,-1.2515403815837614,0
624.0,679.84375,422,704.9748998191354,86.06040040047364,1017,212.0,186.55316925996593,42,64.11965187120497,209.6171875,226.59602338192082,0.11624470203910064,5283.9211163787095,-1.2633421309230821,0
668.5,684.046875,422,704.7252789208004,28.49643510976143,1115,223.5,169.4626553336586,171,71.51307232972835,225.5078125,227.30116654452084,32.22974881328607,4813.204375267884,-0.7729087398459087,0
675.5,695.25,432,717.4671704161801,41.147943560733914,1115,215.5,177.16257540744886,128,76.01323239548405,209.5546875,213.55636331540205,8.487487195546178,4840.091789340781,-0.8709903160269468,0
732.0,731.328125,440,757.6553780413625,37.66524788764173,1072,160.0,197.99203382708197,97,66.0696970309774,160.71875,165.0732791823074,-0.24392693601545767,4497.701604161172,-1.3367265031874171,0
807.0,771.6171875,428,795.2915198607992,32.03670685225777,1072,149.0,192.60196654522986,97,66.18642546007666,148.34375,151.76369378082492,27.80351214242761,5400.153462729088,-1.126712752560484,0
709.0,708.125,428,727.880055366267,35.40953206323828,1016,169.5,168.4290930183975,110,65.22248251200048,177.34375,180.84424410248727,10.935789082676905,5048.93661898424,-1.1183640655762757,0
744.5,730.265625,419,749.9783746882306,37.214735299844605,1053,222.5,170.82060602678874,155,67.19885946829508,221.28125,224.3887878772021,-1.2224567320010953,5134.331796103554,-1.0809023730639544,0
758.5,750.859375,376,774.4907903745532,31.24499569306059,1058,266.0,189.8583244148367,163,79.85579364591695,266.515625,268.34088045804725,2.6113107601813264,6770.165601772529,-1.2075562004340554,0
625.0,645.859375,376,663.8906395258183,42.98935869418733,1058,301.0,153.6764424842317,243,64.6239855882004,314.09375,317.0220319630798,-0.24535713903029466,5739.160505676843,0.13315682360259107,0
621.5,649.546875,422,667.1633514365129,58.73713237990806,1036,384.0,152.30165684500736,276,51.81318356122381,385.7421875,390.18852614793786,0.18914667122661744,6395.606615107611,0.00032341894536447313,0
711.0,709.0546875,162,731.9529367128054,77.29216043018104,1047,431.0,181.6495298556463,-5,141.33291748605848,437.4921875,444.2673656566505,13.390708482599575,15102.920240409241,-0.5477353378392746,0
758.0,734.828125,140,760.5243873473092,116.78029982721561,1066,462.5,196.02288248820435,-197,172.19873274143615,466.546875,480.94035492979793,10.303524357361491,20620.822486432124,0.5457198731211137,0
723.0,719.0859375,140,748.2010351920799,101.92908810278273,1184,498.5,206.6886633375089,-197,150.30493067168055,501.9921875,512.2359761989585,18.936822779040735,13959.779591409626,-0.45257677464720336,0
704.5,717.9453125,398,742.2235649132275,70.7096543946396,1184,550.0,188.28262950091107,148,135.50772233267008,543.859375,548.4367556975006,15.847518038772673,11249.076219346682,-1.206538034521999,0
762.0,724.40625,163,745.0506799037231,65.22759882471146,1065,590.5,174.17261721044872,355,131.75950848961824,601.03125,604.5603386966433,9.29218317616374,11526.607587629573,-0.500400891896156,0
663.5,688.140625,144,712.4498118288755,79.85607437600532,1101,662.0,184.51887328836955,440,112.97913015809245,671.4140625,676.1463125222972,5.118051422054757,11294.35034708583,0.07337137960864393,0
895.0,916.0546875,144,966.7066716757985,241.85832253853152,1406,679.5,308.81320984015133,114,129.1765917087296,563.5703125,613.2755867572913,-1.171341665359613,13260.558100026985,-1.185223270392302,0
1217.0,1198.015625,458,1210.741779344382,196.28582475563536,1406,306.0,175.0834615429435,114,101.90396165525847,348.375,399.8665597733824,1.843791245556596,7528.390912982936,2.2263846083614425,0
1212.5,1232.6640625,1154,1234.1842099388973,60.049092363268436,1377,334.0,61.237023796850984,178,37.694763447762455,323.0703125,328.6035914479633,2.018135129050499,3256.4806859840787,-0.3609669695754687,0
1191.0,1214.265625,1154,1215.493373336523,48.10764639940145,1376,404.0,54.618060825695515,317,40.52940366056798,400.6171875,403.4953240900073,1.2749827224108925,3661.2923158797826,0.8841796458916233,0
1226.5,1262.765625,1164,1265.5177608887993,46.545618138242546,1405,468.0,83.41570261862796,383,47.05016142453156,470.2109375,472.5090690267225,1.4389992004197358,4998.9262223790365,-1.4525873860637606,0
1264.5,1264.25,1061,1268.5885180487012,60.68004709321158,1463,511.0,104.82731335391554,343,49.73993062266647,491.703125,495.43317536273247,0.9367882711670457,4815.835233513537,-1.0827236202129964,0
1184.5,1093.1640625,374,1127.8319667896012,157.9662491688172,1463,351.5,277.4838333506947,55,76.04471583279253,355.0078125,388.56644581396887,-0.7483154801346208,4650.74618277236,0.9729859031041785,0
971.5,904.65625,250,955.0507103683029,156.13282403208615,1251,341.5,306.13547444054484,55,91.91643215450223,345.296875,378.9556578611804,-0.3606883145790998,5648.613605592699,-0.8382923578539176,0
809.5,765.96875,250,808.8138498752355,134.60721554964036,1165,544.5,259.7531862623392,309,100.68376143323735,545.3046875,561.6727736747616,-0.8156118926091946,8249.66045253807,-0.5499485896744001,0
644.5,628.296875,277,662.0410556566715,143.36278606296116,1021,523.0,208.6657524373235,196,94.90346927860648,534.546875,553.4376658667171,-0.6785771191943026,8609.054307419005,-1.1585195538091186,0
652.0,648.171875,309,673.2888147927307,174.31420801310023,1014,228.5,182.18410628807436,51,69.2877557235742,286.703125,335.5355793354857,-0.9592787252839252,5710.6681044883835,-0.9667291884055751,0
755.0,755.359375,457,776.7919706234096,85.76783251167072,1052,100.5,181.21252778053005,51,106.56827566469421,128.0625,154.13022091724906,27.947255266970103,6521.910309708268,-1.1728847608922892,0
750.0,753.3671875,451,782.7181954174184,74.36466413212915,1064,122.0,212.33382734703352,64,114.9849568377298,132.921875,152.30997381983886,49.3314048128561,6894.075320000424,-1.576538543276002,0
624.0,712.7265625,451,743.5089157585805,56.307058192078316,1064,167.0,211.72235337685436,98,82.47559976996999,176.0859375,184.86952747140347,4.939329094722582,5255.970710861407,-1.4490948805084147,0
726.5,728.125,258,753.4898908578668,96.48524132961265,1063,331.0,193.85819559667834,155,76.68062557313539,289.2734375,304.9401964935092,-1.4931143031232794,6113.021766832077,-1.0619523998038765,0
767.0,759.890625,258,784.3113619602868,47.631150536858165,1050,382.5,194.19204550421054,112,95.73074846128442,382.9921875,385.9426669694606,9.369491776251113,7601.763364822211,-0.7515516452430551,0
806.5,784.3046875,261,804.8476612455925,43.77165688864592,1050,404.5,180.68180588544976,112,79.68778543339234,405.9453125,408.2983647867084,17.46463768232567,6057.01933111882,-0.5477766787815574,0
831.0,797.75,37,818.5914732025982,86.37908387087174,1059,440.0,183.54001607278997,144,128.38683789431863,448.2890625,456.5352447374682,9.405901978680966,8071.822436682211,1.3888947145370558,0
769.5,760.109375,37,780.9642777521901,81.24100310765186,1059,471.5,179.2733699189854,144,111.71137422569977,480.84375,487.6584998746561,9.403552119538597,6869.677523853701,0.8202259429308483,0
758.0,757.53125,437,775.6294621144816,32.045750338322456,1029,488.0,166.57571183530177,432,53.832103637891855,491.4140625,492.45782655725964,8.921490273325352,4447.103594747925,-1.1356757079352644,0
792.0,761.828125,433,784.306610564389,29.310767539421413,1029,511.5,186.42630537020352,432,59.36181766742683,514.5625,515.3966312462665,1.2315166341855353,4429.747755270275,-1.2468288191149173,0
760.0,734.9765625,433,753.4410280921129,29.20114359249266,1028,541.0,165.77947818769243,484,50.11470617315838,545.890625,546.6710905562869,-1.1945594301814797,3886.899946730812,-0.9696031622934118,0
784.0,762.0234375,446,781.9962186209726,37.619892166526654,1041,584.5,175.60856083398554,510,66.24820602000833,581.9609375,583.1756073966915,22.98905596754254,4479.6542039287315,-1.1164681768494864,0
821.5,780.3515625,443,804.1504202806213,36.35115197624416,1041,610.0,194.18892177801646,558,75.45666706896516,613.875,614.9503409829122,20.627663395187046,5046.489562797923,-1.4116200825248644,0
647.5,700.859375,434,729.2411081048572,42.272731467029594,1037,623.5,201.46644937708456,470,66.67739515867589,615.4765625,616.9265619281601,5.150918497293187,4908.4648027073235,-1.4170173805821802,0
570.0,599.6171875,434,617.3407119958151,180.02232324140908,1025,461.5,146.86314426053204,191,52.803589501235074,432.796875,468.7442499647329,-1.7847527157874417,4291.716755947111,1.382564929048077,0
638.5,657.7109375,436,677.4333627283942,73.77689815032612,1007,197.0,162.27225157238405,110,51.23222899095282,205.5234375,218.36417760818736,0.8097908935546263,4129.3627566278265,-0.6941007325852295,0
785.5,787.1875,418,811.2887413707897,67.88026567972462,1073,134.5,196.2785309674749,94,93.23468050906973,151.3125,165.84089702181424,27.629535713412007,5962.2981791541615,-1.1121203736744303,0
793.0,779.03125,418,803.5805614560372,64.62683551476387,1073,151.5,197.10918363546003,94,90.48200724690383,157.0703125,169.84613901263697,31.727193637893038,5468.829367805288,-1.0309747773473767,0
