Mean_X,Mean_Y,Std_X,Std_Y,Min_X,Max_X,Min_Y,Max_Y,Median_X,Median_Y,Range_X,Range_Y,Variance_X,Variance_Y,Skew_X,Skew_Y,Kurtosis_X,Kurtosis_Y,RMS_X,RMS_Y,Total_Distance,Average_Distance,Maximum_Distance,Std_Distance,Direction_Change,Activity
1200.8125,428.953125,384.4934522768236,383.7260143028283,352,1753,68,1905,1025.5,332.5,1401,1837,147835.21484375,147245.65405273438,-0.17215686502758812,1.3050042943878277,-1.2865081427104033,1.0461598416339006,1260.867112347689,575.5401267505159,13440.26044081235,105.82882236860118,1041.446109983613,212.25473229046534,2.4902147874486658,0
1384.7734375,224.71875,420.7040084571736,340.45061906749044,258,1753,2,1905,1568.0,123.0,1495,1903,176991.8627319336,115906.6240234375,-1.5179373067294257,2.721600247135875,0.9441769578576866,6.861486667978742,1447.2696141139356,407.927862035679,7939.777894209076,62.51793617487461,640.378794152336,122.93072988210753,2.6323466502853683,0
1059.8515625,297.6484375,562.958383922656,415.2108762018507,162,1741,2,1332,1220.5,122.5,1579,1330,316922.1420288086,172400.0717163086,-0.426438074465271,1.5456646453777751,-1.354562946843912,0.640252287211045,1200.0864454540347,510.87636866711694,11620.676289012206,91.50138810245832,1083.411279247175,166.66164008114131,2.5771881731310287,0
751.875,467.96875,341.7252414221109,379.4052693340427,162,1411,-8,1332,885.0,434.5,1249,1340,116776.140625,143948.3583984375,-0.4568899352455213,0.769066158285983,-0.845968253291272,-0.38970024591340424,825.8887069393793,602.4475988623409,11293.319401963681,88.92377481861166,1083.411279247175,161.04238226684947,2.3728267167556587,0
849.15625,491.1484375,210.72117379593703,144.32358878162847,191,1109,-8,686,903.0,541.0,918,694,44403.4130859375,20829.298278808594,-1.325191128599082,-1.6221983687636943,1.5796799879576655,2.5940663855188086,874.9112812165586,511.91413922404996,5873.452336515257,46.24765619303352,514.2489669411111,81.91067708827963,2.227930302172197,0
692.09375,591.109375,267.20022447770793,107.73471718582351,352,1109,379,889,574.0,569.0,757,510,71395.9599609375,11606.769287109375,0.33053997698285753,0.7487551432094586,-1.5340828336872945,0.6065729300915215,741.882550509176,600.8469543070015,5719.686766049459,45.03690366968078,514.2489669411111,70.52770819194768,2.1045648798594287,0
669.2734375,610.78125,243.90965011543432,218.61288336563675,352,1118,105,918,587.5,645.5,766,813,59491.917419433594,47791.5927734375,0.4502002397080874,-1.0072874747449856,-1.2058131524127935,0.28361194985594507,712.3333851241987,648.725926817327,5836.13921254318,45.95385206726914,349.09024621149183,56.48349504468548,2.044361643098421,0
760.1328125,340.1875,316.13195353892945,345.61409905955804,215,1349,-45,918,759.5,165.5,1134,963,99939.41204833984,119449.10546875,0.21170140056489398,0.28861111389547056,-0.9500193554396072,-1.568068878850328,823.2504507666546,484.9501424115679,6695.169693927974,52.71787160573208,604.9107372166575,86.75310717151709,2.1122895584045662,0
662.4765625,276.8828125,319.18409080918116,260.1558613688914,215,1349,-45,764,623.5,340.0,1134,809,101878.4838256836,67681.07220458984,0.6731157455023516,0.20462680424607713,-0.4266159595245491,-1.2477799608918039,735.3595580989615,379.92784059936963,7011.60426772664,55.209482423044406,604.9107372166575,95.07907846006803,2.2370991617832856,0
759.4453125,510.3828125,348.6654424506067,139.4582778722362,278,1402,171,764,714.0,527.5,1124,593,121567.59075927734,19448.611267089844,0.3091497174154621,-0.5292692942096433,-1.0546706881096453,-0.567250446439147,835.6582874820904,529.0928335958635,6349.753515968662,49.998059180855606,482.5111397677778,82.44380801323082,2.153978007636944,0
1042.640625,484.46875,354.6217556772418,115.39876092678595,278,1402,216,673,1219.0,517.0,1124,457,125756.58959960938,13316.8740234375,-1.0395006486565628,-0.4387870695351711,-0.5280781132677719,-0.8698300373703107,1101.2974450619597,498.02293496384283,5772.810847868743,45.45520352652553,482.5111397677778,75.74557017737737,2.1048278285960254,0
1232.1328125,369.9609375,119.11892502176069,96.074385434522,864,1380,216,636,1262.0,361.5,516,420,14189.318298339844,9230.287536621094,-1.4129291139421403,1.378197222981186,1.163593252962107,1.4522072339832102,1237.8774519060844,382.2321059415339,5013.512348709826,39.476475186691545,386.213671430725,66.2595234080928,2.309327920749442,0
961.015625,398.859375,334.0487423353954,118.25850487220518,279,1367,267,1032,959.0,377.0,1088,765,111588.56225585938,13985.073974609375,-0.3911859008622435,1.950957107433184,-1.0647195314880613,5.731123505054638,1017.4181017408723,416.02148382024694,6121.735978463175,48.202645499710044,822.7879435188632,106.80695407729887,2.4491171605698425,0
632.3203125,421.8828125,244.06428243887376,109.64378552653973,279,1255,289,1032,676.0,385.5,976,743,59567.373962402344,12021.759704589844,0.44222754911050577,2.059633826886696,-0.1816398155564536,6.648219991978307,677.7878366882221,435.89777148719173,6502.9194107524,51.20408984844409,822.7879435188632,112.96870621710806,2.2928194145616354,0
570.9453125,314.375,188.17662533316232,82.55736641875151,313,1003,195,510,547.0,333.0,690,315,35410.442321777344,6815.71875,0.5128564493147679,0.3763524070825249,-0.6604558077947642,-0.502512598819671,601.156379145643,325.0343972182021,4198.8196933260115,33.06157238839379,592.3520912430376,68.88764210187924,2.27633827530682,0
576.1796875,259.296875,156.45803319070052,65.77879115060092,355,873,151,400,488.5,241.5,518,249,24479.116149902344,4326.849365234375,0.8923731266501891,0.23626193004998955,-0.745120828599922,-1.0360702715430021,597.0445112698885,267.5102217673186,3226.8807863258553,25.40851012855004,411.83006204015754,50.245677281616125,2.3110576343925775,0
579.2109375,180.546875,145.54196411300452,100.70104730207315,447,873,44,396,482.5,152.0,426,352,21182.463317871094,10140.700927734375,0.9011129591524815,0.4274958828096232,-0.8134201046214664,-1.2542166456781123,597.2166888471052,206.7314078702121,2875.2876949608685,22.64006059024306,411.83006204015754,41.99018561480988,2.3694263544532697,0
